INTEGRATION REFERENCES LIST                    MAR 18,2015  11:22    PAGE 1
      3171  AUG 21,2000  ORDER ENTRY/RESULTS REPORTING
      3172  AUG 28,2000  KERNEL
      3173  AUG 28,2000  KERNEL
      3174  AUG 31,2000  BAR CODE MED ADMIN
      3176  SEP 16,2003  VBECS
      3177  SEP  8,2000  VBECS
      3178  AUG 29,2000  KERNEL
      3179  AUG 30,2000  PHARMACY DATA MANAGEMENT
      3180  AUG 29,2000  VA FILEMAN
      3181  SEP 16,2003  VBECS
      3194  SEP 12,2000  TEXT INTEGRATION UTILITIES
      3195  APR 29,2003  TEXT INTEGRATION UTILITIES
      3197  SEP 19,2000  TOOLKIT
      3198  SEP 12,2000  TEXT INTEGRATION UTILITIES
      3201  NOV  6,2006  TEXT INTEGRATION UTILITIES
      3204               TEXT INTEGRATION UTILITIES
      3205               TEXT INTEGRATION UTILITIES
      3208  FEB 21,2002  CLINICAL INFO RESOURCE NETWORK
      3209  SEP 20,2000  VA FILEMAN
      3210               TEXT INTEGRATION UTILITIES
      3211  SEP 22,2000  PCE PATIENT CARE ENCOUNTER
      3213  SEP 27,2000  KERNEL
      3214  OCT 16,2000  GEN. MED. REC. - I/O
      3215  OCT  3,2000  VA FILEMAN
      3216  OCT  3,2000  VA FILEMAN
      3217  OCT  3,2000  VA FILEMAN
      3218  OCT  3,2000  VA FILEMAN
      3220  OCT  3,2000  VA FILEMAN
      3221  OCT  3,2000  VA FILEMAN
      3222  OCT  3,2000  VA FILEMAN
      3223  OCT  3,2000  VA FILEMAN
      3224  OCT  3,2000  VA FILEMAN
      3225  OCT  5,2000  PCE PATIENT CARE ENCOUNTER
      3227  OCT 17,2000  NURSING SERVICE
      3228  OCT 18,2000  TOOLKIT
      3230  OCT 24,2000  KERNEL
      3231  OCT 27,2000  MAILMAN
      3236  OCT 30,2000  PROBLEM LIST
      3237  OCT 30,2000  OUTPATIENT PHARMACY
      3238  OCT 30,2000  HEALTH SUMMARY
      3239  OCT 31,2000  PHARMACY DATA MANAGEMENT
      3240  NOV  1,2000  MAILMAN
      3242  NOV  2,2000  MAILMAN
      3243  NOV  2,2000  INPATIENT MEDICATIONS
      3244  NOV  6,2000  HEALTH LEVEL SEVEN
      3245  NOV 13,2000  TEXT INTEGRATION UTILITIES
      3246  NOV 13,2000  TEXT INTEGRATION UTILITIES
      3247  NOV 13,2000  TEXT INTEGRATION UTILITIES
      3248  NOV 13,2000  TEXT INTEGRATION UTILITIES
      3249  NOV 14,2000  CLINICAL PROCEDURES
      3250  NOV 14,2000  CLINICAL PROCEDURES
      3252  NOV 15,2000  CONSULT/REQUEST TRACKING
      3259  NOV 16,2000  CLINICAL INFO RESOURCE NETWORK
      3260  NOV 17,2000  LAB SERVICE
      3261  NOV 24,2000  VA FILEMAN
      3264  NOV 29,2000  KERNEL
      3266  DEC  5,2000  REGISTRATION
      3267  DEC  5,2000  REGISTRATION
      3268  DEC  7,2000  TEXT INTEGRATION UTILITIES
      3269  DEC  8,2000  RADIOLOGY/NUCLEAR MEDICINE
      3270  DEC 18,2000  RADIOLOGY/NUCLEAR MEDICINE
      3272  DEC 20,2000  KERNEL
      3273  DEC 20,2000  HEALTH LEVEL SEVEN
      3277  DEC 29,2000  KERNEL
      3278  DEC 29,2000  OUTPATIENT PHARMACY
      3279  JAN  2,2001  CLINICAL PROCEDURES
      3280  JAN  2,2001  CLINICAL PROCEDURES
      3281  JAN  3,2001  KERNEL
      3282  JAN  3,2001  HEALTH SUMMARY
      3283  JAN 18,2001  HEALTH LEVEL SEVEN
      3284  APR 21,2003  SCHEDULING
      3285  JAN  4,2001  SCHEDULING
      3286  JAN  4,2001  SCHEDULING
      3287  JAN  4,2001  KERNEL
      3288               ORDER ENTRY/RESULTS REPORTING
      3289               ORDER ENTRY/RESULTS REPORTING
      3290               ORDER ENTRY/RESULTS REPORTING
      3291               ORDER ENTRY/RESULTS REPORTING
      3292               ORDER ENTRY/RESULTS REPORTING
      3293               ORDER ENTRY/RESULTS REPORTING
      3294               ORDER ENTRY/RESULTS REPORTING
      3295  APR 25,2003  CLINICAL REMINDERS
      3296  APR 25,2003  CLINICAL REMINDERS
      3297  APR 21,2003  INCOME VERIFICATION MATCH
      3298  JAN 11,2001  MASTER PATIENT INDEX VISTA
      3299  JAN 12,2001  REGISTRATION
      3300  MAY 21,2004  MASTER PATIENT INDEX VISTA
      3301  JAN 30,2001  REGISTRATION
      3302  JAN 31,2001  INTEGRATED BILLING
      3303  FEB  7,2001  REGISTRATION
      3304  FEB  7,2001  REGISTRATION
      3310  FEB 13,2001  SCHEDULING
      3311  FEB 13,2001  SCHEDULING
      3314  FEB 13,2001  NDBI
      3315  FEB 14,2001  VA FILEMAN
      3317  FEB 15,2001  RADIOLOGY/NUCLEAR MEDICINE
      3319               VA FILEMAN
      3320  FEB 21,2001  INPATIENT MEDICATIONS
      3321  FEB 26,2001  CLINICAL PROCEDURES
      3323  MAR  1,2001  RADIOLOGY/NUCLEAR MEDICINE
      3324  MAR  1,2001  RADIOLOGY/NUCLEAR MEDICINE
      3325  MAR  1,2001  REGISTRATION
      3326  MAR  1,2001  REGISTRATION
      3327  MAR  1,2001  REGISTRATION
      3328  MAR  1,2001  REGISTRATION
      3329  MAR  1,2001  REGISTRATION
      3330  MAR  1,2001  REGISTRATION
      3331  MAR  1,2001  REGISTRATION
      3332  APR 25,2003  CLINICAL REMINDERS
      3333  MAR  2,2004  CLINICAL REMINDERS
      3335  MAR  6,2001  HEALTH LEVEL SEVEN
      3336  MAR  7,2001  ACCOUNTS RECEIVABLE
      3337  APR 27,2006  ACCOUNTS RECEIVABLE
      3339  MAR  9,2001  REGISTRATION
      3342  MAR 27,2001  PAID
      3343  APR 18,2001  INTEGRATED BILLING
      3344  MAR 28,2001  REGISTRATION
      3345  APR 18,2001  INTEGRATED BILLING
      3346  MAR 28,2001  ACCOUNTS RECEIVABLE
      3347  MAR 28,2001  ACCOUNTS RECEIVABLE
      3348  MAR 28,2001  ACCOUNTS RECEIVABLE
      3350  MAR 28,2001  INTEGRATED BILLING
      3351  APR  3,2001  TEXT INTEGRATION UTILITIES
      3352  APR  5,2001  VA FILEMAN
      3355  APR 13,2001  AUTHORIZATION/SUBSCRIPTION
      3356  APR 13,2001  KERNEL
      3357  APR 16,2001  VA FILEMAN
      3358  APR 18,2001  CONSULT/REQUEST TRACKING
      3359  APR 23,2001  MAILMAN
      3362  APR 27,2001  SURGERY
      3363               ORDER ENTRY/RESULTS REPORTING
      3364               ORDER ENTRY/RESULTS REPORTING
      3366               ORDER ENTRY/RESULTS REPORTING
      3367               ORDER ENTRY/RESULTS REPORTING
      3368               ORDER ENTRY/RESULTS REPORTING
      3369               ORDER ENTRY/RESULTS REPORTING
      3370  APR 30,2001  BAR CODE MED ADMIN
      3371  MAY  4,2001  ORDER ENTRY/RESULTS REPORTING
      3372  MAY  9,2001  TEXT INTEGRATION UTILITIES
      3373  MAY 10,2001  PHARMACY DATA MANAGEMENT
      3374  MAY 10,2001  ACCOUNTS RECEIVABLE
      3375  MAY 14,2001  TEXT INTEGRATION UTILITIES
      3376  MAY 14,2001  TEXT INTEGRATION UTILITIES
      3377  MAY 14,2001  TEXT INTEGRATION UTILITIES
      3378  APR  7,2005  CLINICAL PROCEDURES
      3380  MAY 21,2001  BAR CODE MED ADMIN
      3382  MAY 21,2001  BAR CODE MED ADMIN
      3383  MAY 21,2001  BAR CODE MED ADMIN
      3384  MAY 21,2001  BAR CODE MED ADMIN
      3385  MAY 21,2001  BAR CODE MED ADMIN
      3386  MAY 21,2001  BAR CODE MED ADMIN
      3387  MAY 21,2001  BAR CODE MED ADMIN
      3388  MAY 21,2001  BAR CODE MED ADMIN
      3389  MAY 21,2001  BAR CODE MED ADMIN
      3390  MAY 22,2001  BAR CODE MED ADMIN
      3391  MAY 22,2001  BAR CODE MED ADMIN
      3395  MAY 22,2001  BAR CODE MED ADMIN
      3396  MAY 22,2001  BAR CODE MED ADMIN
      3397  MAY 29,2001  ORDER ENTRY/RESULTS REPORTING
      3399  MAY 30,2001  SCHEDULING
      3400  MAY 30,2001  SCHEDULING
      3401  MAY 30,2001  SCHEDULING
      3402  MAY 15,2003  REGISTRATION
      3403  MAY 15,2003  REGISTRATION
      3404  JUN  1,2001  VA FILEMAN
      3405  JUN  1,2001  VA FILEMAN
      3406  JUN 20,2001  MASTER PATIENT INDEX VISTA
      3409  NOV 29,2004  AUTHORIZATION/SUBSCRIPTION
      3410  OCT 28,2004  CLINICAL REMINDERS
      3411  JUN 25,2001  CLINICAL REMINDERS
      3412  JUN 25,2001  AUTOMATED INFO COLLECTION SYS
      3415  JUN 26,2001  ORDER ENTRY/RESULTS REPORTING
      3416  JUN 27,2001  INPATIENT MEDICATIONS
      3417  JUN 28,2001  RADIOLOGY/NUCLEAR MEDICINE
      3420  JUL 19,2001  REGISTRATION
      3422  JUL 23,2001  REGISTRATION
      3423  JUL 25,2001  PHARMACY DATA MANAGEMENT
      3424  JUL 25,2001  PHARMACY DATA MANAGEMENT
      3425  AUG  3,2001  CONSULT/REQUEST TRACKING
      3426  AUG  6,2001  REGISTRATION
      3427  NOV 14,2001  IFCAP
      3429  NOV 14,2001  ORDER ENTRY/RESULTS REPORTING
      3430  AUG  9,2001  REGISTRATION
      3431  AUG  9,2001  REGISTRATION
      3432  AUG  9,2001  REGISTRATION
      3433  AUG  9,2001  REGISTRATION
      3434  AUG 13,2001  VA FILEMAN
      3435  MAR  5,2003  KERNEL
      3436  AUG 15,2001  TEXT INTEGRATION UTILITIES
      3437  AUG 15,2001  REGISTRATION
      3438  AUG 15,2001  TEXT INTEGRATION UTILITIES
      3439  AUG 15,2001  TEXT INTEGRATION UTILITIES
      3440  AUG 15,2001  TEXT INTEGRATION UTILITIES
      3441  AUG 16,2001  TEXT INTEGRATION UTILITIES
      3442  FEB 27,2003  KERNEL
      3443  AUG 17,2001  RADIOLOGY/NUCLEAR MEDICINE
      3444  AUG 16,2001  REGISTRATION
      3445  AUG 22,2001  REGISTRATION
      3446  AUG 23,2001  VA FILEMAN
      3447  AUG 23,2001  VA FILEMAN
      3448  SEP 10,2001  BAR CODE MED ADMIN
      3449  SEP 11,2001  ADVERSE REACTION TRACKING
      3451  SEP 11,2001  TEXT INTEGRATION UTILITIES
      3452  SEP 13,2001  MAILMAN
      3453  SEP 13,2001  KERNEL
      3454  SEP 13,2001  HEALTH LEVEL SEVEN
      3455  SEP 14,2001  PCE PATIENT CARE ENCOUNTER
      3456  SEP 18,2001  REGISTRATION
      3457  SEP 18,2001  REGISTRATION
      3458  SEP 25,2001  ORDER ENTRY/RESULTS REPORTING
      3459  SEP 25,2001  BAR CODE MED ADMIN
      3460  SEP 26,2001  TEXT INTEGRATION UTILITIES
      3461  SEP 26,2001  TEXT INTEGRATION UTILITIES
      3462  OCT  1,2001  OUTPATIENT PHARMACY
      3463  OCT  2,2001  ORDER ENTRY/RESULTS REPORTING
      3464  OCT  3,2001  HEALTH LEVEL SEVEN
      3465  OCT 16,2001  LAB SERVICE
      3466  OCT  5,2001  GENERIC CODE SHEET
      3467  OCT  5,2001  GENERIC CODE SHEET
      3468  OCT 10,2001  CONSULT/REQUEST TRACKING
      3469  OCT 11,2001  CLINICAL INFO RESOURCE NETWORK
      3470  OCT 18,2001  REGISTRATION
      3471  OCT 19,2001  HEALTH LEVEL SEVEN
      3472  OCT 24,2001  CONSULT/REQUEST TRACKING
      3473  OCT 26,2001  CONSULT/REQUEST TRACKING
      3475  NOV  5,2001  REGISTRATION
      3476  NOV  5,2001  VA FILEMAN
      3477  NOV  6,2001  SURGERY
      3478  NOV 15,2001  OUTPATIENT PHARMACY
      3481  NOV 23,2001  REGISTRATION
      3484  NOV 26,2001  HEALTH LEVEL SEVEN
      3485  NOV 28,2001  DRUG ACCOUNTABILITY
      3486  FEB  5,2004  CORBA SERVICES
      3487  JAN  8,2002  HEALTH SUMMARY
      3488  DEC  3,2001  HEALTH LEVEL SEVEN
      3489  DEC  4,2001  REGISTRATION
      3491  DEC  7,2001  SCHEDULING
      3492  DEC 12,2001  REGISTRATION
      3493  DEC 12,2001  REGISTRATION
      3494  DEC 12,2001  REGISTRATION
      3495  DEC 13,2001  CORBA SERVICES
      3496  DEC 19,2001  REGISTRATION
      3497  DEC 19,2001  DRUG ACCOUNTABILITY
      3498  DEC 26,2001  COMMUNICATIONS SERVICE LIBRARY
      3499  JAN 14,2002  ENROLLMENT APPLICATION SYSTEM
      3500  JAN 16,2002  OUTPATIENT PHARMACY
      3501  JAN 17,2002  OUTPATIENT PHARMACY
      3502  JAN 24,2002  PHARMACY DATA MANAGEMENT
      3503  JAN 28,2002  REGISTRATION
      3504  JAN 30,2002  REGISTRATION
      3505  JAN 30,2002  RADIOLOGY/NUCLEAR MEDICINE
      3506  FEB  1,2002  RADIOLOGY/NUCLEAR MEDICINE
      3507  JAN 31,2002  RADIOLOGY/NUCLEAR MEDICINE
      3508  JAN 31,2002  RADIOLOGY/NUCLEAR MEDICINE
      3509  JAN 31,2002  RADIOLOGY/NUCLEAR MEDICINE
      3510  FEB  1,2002  RADIOLOGY/NUCLEAR MEDICINE
      3511  FEB  4,2002  REGISTRATION
      3512  FEB  4,2002  PCE PATIENT CARE ENCOUNTER
      3513  FEB  5,2002  RADIOLOGY/NUCLEAR MEDICINE
      3514  AUG 12,2003  COMMUNICATIONS SERVICE LIBRARY
      3515  NOV 12,2003  COMMUNICATIONS SERVICE LIBRARY
      3516  AUG 12,2003  COMMUNICATIONS SERVICE LIBRARY
      3517  AUG 12,2003  COMMUNICATIONS SERVICE LIBRARY
      3518  AUG 12,2003  COMMUNICATIONS SERVICE LIBRARY
      3519  FEB 11,2002  TEXT INTEGRATION UTILITIES
      3520  FEB 12,2002  KERNEL
      3521  FEB 12,2002  KERNEL
      3522  FEB 12,2002  KERNEL
      3523  FEB 20,2002  REGISTRATION
      3524  FEB 14,2002  TOOLKIT
      3525  FEB 14,2002  TOOLKIT
      3526  FEB 14,2002  TOOLKIT
      3527  FEB 14,2002  TOOLKIT
      3528  FEB 14,2002  TOOLKIT
      3529  FEB 15,2002  REGISTRATION
      3530  FEB 27,2002  PCE PATIENT CARE ENCOUNTER
      3531  FEB 27,2002  PCE PATIENT CARE ENCOUNTER
      3532  FEB 27,2002  VA FILEMAN
      3533  FEB 28,2002  SURGERY
      3534  FEB 28,2002  VA FILEMAN
      3535  MAR  1,2002  TEXT INTEGRATION UTILITIES
      3536  MAR  1,2002  TEXT INTEGRATION UTILITIES
      3537  MAR  1,2002  TEXT INTEGRATION UTILITIES
      3538  MAR  5,2002  REGISTRATION
      3539  APR 22,2002  KERNEL
      3540  MAR  6,2002  TEXT INTEGRATION UTILITIES
      3541  MAR  7,2002  SURGERY
      3542  MAR  7,2002  SURGERY
      3544  MAR 12,2002  KERNEL
      3545  MAR 13,2002  REGISTRATION
      3546  MAR 14,2002  REGISTRATION
      3547  MAR 20,2002  AUTOMATED INFO COLLECTION SYS
      3548  MAR 25,2002  TEXT INTEGRATION UTILITIES
      3549  APR  1,2002  REGISTRATION
      3550  AUG 22,2002  HEALTH LEVEL SEVEN
      3551  APR  4,2002  ORDER ENTRY/RESULTS REPORTING
      3552  APR  4,2002  HEALTH LEVEL SEVEN
      3553  APR  4,2002  MASTER PATIENT INDEX VISTA
      3554  APR  8,2002  CLINICAL INFO RESOURCE NETWORK
      3555  APR  9,2002  KERNEL
      3556  APR 11,2002  AUTOMATED LAB INSTRUMENTS
      3557  APR 11,2002  LAB SERVICE
      3558  APR 12,2002  ORDER ENTRY/RESULTS REPORTING
      3559  APR 12,2002  SURGERY
      3560  APR 15,2002  PCE PATIENT CARE ENCOUNTER
      3561  JUL  3,2003  TOOLKIT
      3562  APR 16,2002  SURGERY
      3563  APR 17,2002  RADIOLOGY/NUCLEAR MEDICINE
      3564  APR 25,2002  BAR CODE MED ADMIN
      3565  MAY  7,2002  LAB SERVICE
      3566  APR 25,2002  TEXT INTEGRATION UTILITIES
      3567  APR 26,2002  IMAGING
      3568  AUG  7,2003  TEXT INTEGRATION UTILITIES
      3572  NOV 17,2004  ORDER ENTRY/RESULTS REPORTING
      3574  MAY 13,2002  HEALTH LEVEL SEVEN
      3575  MAY 13,2002  CONSULT/REQUEST TRACKING
      3578  MAY 15,2002  HEALTH SUMMARY
      3579  MAY 15,2002  HEALTH SUMMARY
      3580  MAY 15,2002  PCE PATIENT CARE ENCOUNTER
      3581  MAY 16,2002  REGISTRATION
      3582  MAY 20,2002  ORDER ENTRY/RESULTS REPORTING
      3583  MAY 21,2002  ORDER ENTRY/RESULTS REPORTING
      3584  MAY 21,2002  ORDER ENTRY/RESULTS REPORTING
      3585  MAY 21,2002  ORDER ENTRY/RESULTS REPORTING
      3586  MAY 22,2002  VA FILEMAN
      3587  MAY 23,2002  KERNEL
      3588  MAY 23,2002  KERNEL
      3589  MAY 24,2002  KERNEL
      3590  MAY 29,2002  SURGERY
      3591  MAY 29,2002  VA FILEMAN
      3593  JUN  3,2002  REGISTRATION
      3594  JUN  3,2002  VA FILEMAN
      3595  JUN 11,2002  INTEGRATED BILLING
      3597  JUN 12,2002  VA FILEMAN
      3598  JUN 12,2002  INPATIENT MEDICATIONS
      3599  JUN 18,2002  KERNEL
      3600  JUN 24,2002  ENROLLMENT APPLICATION SYSTEM
      3601  JUN 28,2002  ACCOUNTS RECEIVABLE
      3612  JUL  3,2002  SURGERY
      3613  JUL  3,2002  CLINICAL PROCEDURES
      3616  JUL  9,2002  ORDER ENTRY/RESULTS REPORTING
      3617  JUL 10,2002  KERNEL
      3618  JUL 11,2002  KERNEL
      3619  JUL 11,2002  REGISTRATION
      3620  JUL 15,2002  ORDER ENTRY/RESULTS REPORTING
      3621  JUL 17,2002  PHARMACY DATA MANAGEMENT
      3622  SEP 30,2003  TEXT INTEGRATION UTILITIES
      3623  JUL 23,2002  VA FILEMAN
      3624  JUL 23,2002  ENROLLMENT APPLICATION SYSTEM
      3626  JUL 24,2002  VA FILEMAN
      3627  JUL 26,2002  KERNEL
      3628  JUL 30,2002  SURGERY
      3629  JUL 30,2002  SURGERY
      3630  JUL 30,2002  REGISTRATION
      3631  JUL 30,2002  VBECS
      3632  AUG  5,2002  ORDER ENTRY/RESULTS REPORTING
      3633  AUG  5,2002  ACCOUNTS RECEIVABLE
      3634  AUG  5,2002  MASTER PATIENT INDEX VISTA
      3635  AUG  6,2002  ACCOUNTS RECEIVABLE
      3636  AUG  6,2002  ACCOUNTS RECEIVABLE
      3637  AUG  6,2002  REGISTRATION
      3638  AUG  7,2002  FEE BASIS
      3639  AUG  7,2002  KERNEL
      3640  AUG  7,2002  KERNEL
      3641  AUG  7,2002  KERNEL
      3642  AUG  7,2002  INTEGRATED BILLING
      3643  AUG  7,2002  PAID
      3644  AUG  7,2002  REGISTRATION
      3646  MAY 25,2004  REGISTRATION
      3647  NOV  7,2003  GEN. MED. REC. - VITALS
      3648  AUG 12,2002  ENGINEERING
      3649  AUG 12,2002  ENGINEERING
      3650  AUG 12,2002  ENGINEERING
      3651  AUG 12,2002  ENGINEERING
      3652  AUG 12,2002  ENGINEERING
      3653  AUG 12,2002  ENGINEERING
      3654  AUG 12,2002  ENGINEERING
      3655  AUG 12,2002  ENGINEERING
      3656  AUG 12,2002  ENGINEERING
      3657  AUG 12,2002  ENGINEERING
      3658  AUG 12,2002  ENGINEERING
      3659  AUG 12,2002  ENGINEERING
      3660  AUG 12,2002  ENGINEERING
      3661  AUG 12,2002  ENGINEERING
      3662  AUG 12,2002  ENGINEERING
      3663  AUG 12,2002  ENGINEERING
      3664  AUG 12,2002  ENGINEERING
      3665  AUG 12,2002  ENGINEERING
      3666  AUG 12,2002  ENGINEERING
      3667  AUG 12,2002  EQUIPMENT/TURN-IN REQUEST
      3668  AUG 12,2002  EQUIPMENT/TURN-IN REQUEST
      3669  AUG 12,2002  EQUIPMENT/TURN-IN REQUEST
      3670  AUG 12,2002  EQUIPMENT/TURN-IN REQUEST
      3671  AUG 12,2002  EQUIPMENT/TURN-IN REQUEST
      3672  AUG 14,2002  IFCAP
      3673  AUG 14,2002  IFCAP
      3674  AUG 14,2002  IFCAP
      3675  AUG 14,2002  IFCAP
      3676  AUG 14,2002  IFCAP
      3677  AUG 14,2002  IFCAP
      3678  AUG 14,2002  IFCAP
      3679  AUG 14,2002  IFCAP
      3680  AUG 14,2002  IFCAP
      3681  AUG 14,2002  IFCAP
      3682  AUG 14,2002  IFCAP
      3683  AUG 14,2002  IFCAP
      3684  AUG 14,2002  IFCAP
      3685  AUG 14,2002  IFCAP
      3686  AUG 14,2002  IFCAP
      3687  AUG 14,2002  IFCAP
      3688  AUG 14,2002  IFCAP
      3689  AUG 14,2002  IFCAP
      3690  AUG 14,2002  IFCAP
      3691  AUG 14,2002  IFCAP
      3692  AUG 14,2002  IFCAP
      3693  AUG 14,2002  IFCAP
      3694  AUG 14,2002  IFCAP
      3695  AUG 14,2002  IFCAP
      3696  AUG 14,2002  IFCAP
      3697  AUG 14,2002  IFCAP
      3698  AUG 14,2002  IFCAP
      3699  AUG 14,2002  IFCAP
      3700  AUG 14,2002  IFCAP
      3701  AUG 14,2002  IFCAP
      3702  AUG 14,2002  IFCAP
      3703  AUG 14,2002  IFCAP
      3704  AUG 14,2002  IFCAP
      3705  AUG 14,2002  IFCAP
      3706  AUG 14,2002  IFCAP
      3707  AUG 14,2002  IFCAP
      3708  AUG 14,2002  IFCAP
      3709  AUG 14,2002  IFCAP
      3710  AUG 14,2002  IFCAP
      3711  AUG 14,2002  IFCAP
      3712  AUG 14,2002  IFCAP
      3713  AUG 14,2002  IFCAP
      3714  AUG 14,2002  IFCAP
      3715  AUG 14,2002  IFCAP
      3716  AUG 14,2002  IFCAP
      3717  AUG 13,2002  INTEGRATED BILLING
      3731  JUL 28,2004  RADIOLOGY/NUCLEAR MEDICINE
      3732  AUG 20,2002  KERNEL
      3733  AUG 21,2002  INTEGRATED BILLING
      3734  AUG 27,2002  HEALTH LEVEL SEVEN
      3735  AUG 28,2002  NATIONAL DRUG FILE
      3736  AUG 29,2002  CLINICAL REMINDERS
      3737  AUG 29,2002  PHARMACY DATA MANAGEMENT
      3740  SEP 12,2002  COMMUNICATIONS SERVICE LIBRARY
      3742  AUG 29,2002  REGISTRATION
      3744  SEP  3,2002  REGISTRATION
      3745  SEP  3,2002  REGISTRATION
      3746  FEB  3,2003  VA FILEMAN
      3748  SEP  5,2002  CLINICAL REMINDERS
      3749  SEP  6,2002  KERNEL
      3750  SEP  6,2002  ORDER ENTRY/RESULTS REPORTING
      3754  SEP 11,2002  CLINICAL REMINDERS
      3763  NOV 30,2004  TEXT INTEGRATION UTILITIES
      3764  SEP 11,2006  ORDER ENTRY/RESULTS REPORTING
      3765  SEP 20,2002  MASTER PATIENT INDEX VISTA
      3766  SEP 23,2002  KERNEL
      3767  SEP 24,2002  CLINICAL INFO RESOURCE NETWORK
      3768  SEP 25,2002  OUTPATIENT PHARMACY
      3771  OCT  1,2002  KERNEL
      3774  OCT  4,2002  HEALTH SUMMARY
      3775  OCT  7,2002  AUTHORIZATION/SUBSCRIPTION
      3776  OCT  7,2002  AUTHORIZATION/SUBSCRIPTION
      3777  OCT  7,2002  INTEGRATED BILLING
      3778  OCT  7,2002  CLINICAL PROCEDURES
      3779  OCT  7,2002  MAILMAN
      3780  OCT  8,2002  CLINICAL PROCEDURES
      3782  OCT 10,2002  COMMUNICATIONS SERVICE LIBRARY
      3783  OCT 11,2002  ORDER ENTRY/RESULTS REPORTING
      3784  OCT 15,2002  PHARMACY DATA MANAGEMENT
      3786  OCT 15,2002  PHARMACY DATA MANAGEMENT
      3787  AUG  6,2003  REGISTRATION
      3789  OCT 20,2002  REGISTRATION
      3793  OCT 21,2002  OUTPATIENT PHARMACY
      3794  MAR  4,2003  NATIONAL DRUG FILE
      3795  OCT 22,2002  KERNEL
      3796  OCT 23,2002  REGISTRATION
      3797  OCT 23,2002  REGISTRATION
      3798  OCT 23,2002  TEXT INTEGRATION UTILITIES
      3799  OCT 23,2002  REGISTRATION
      3800  OCT 23,2002  ORDER ENTRY/RESULTS REPORTING
      3803  OCT 23,2002  RADIOLOGY/NUCLEAR MEDICINE
      3804  OCT 24,2002  INTEGRATED BILLING
      3805  OCT 25,2002  VA FILEMAN
      3806  OCT 29,2002  FEE BASIS
      3807  OCT 25,2002  INTEGRATED BILLING
      3808  OCT 25,2002  INTEGRATED BILLING
      3809  OCT 25,2002  INTEGRATED BILLING
      3810  OCT 25,2002  INTEGRATED BILLING
      3811  OCT 25,2002  INTEGRATED BILLING
      3812  OCT 25,2002  REGISTRATION
      3813  OCT 26,2002  HEALTH SUMMARY
      3814  OCT 27,2002  HEALTH SUMMARY
      3815  OCT 30,2002  VA FILEMAN
      3817  NOV 15,2002  REGISTRATION
      3818  NOV  1,2002  HEALTH SUMMARY
      3819  NOV  1,2002  MENTAL HEALTH
      3820  NOV  3,2002  INTEGRATED BILLING
      3821  NOV  4,2002  INTEGRATED BILLING
      3822  NOV  4,2002  INTEGRATED BILLING
      3828  NOV  4,2002  INTEGRATED BILLING
      3832  NOV  4,2002  CONSULT/REQUEST TRACKING
      3833  NOV  4,2002  CONSULT/REQUEST TRACKING
      3834  NOV  5,2002  COMMUNICATIONS SERVICE LIBRARY
      3835  NOV  5,2002  GEN. MED. REC. - VITALS
      3836  NOV  6,2002  INPATIENT MEDICATIONS
      3837  NOV 18,2002  PROBLEM LIST
      3839  NOV 18,2002  PCE PATIENT CARE ENCOUNTER
      3843  NOV 18,2002  PCE PATIENT CARE ENCOUNTER
      3846  NOV 19,2002  SCHEDULING
      3848  NOV 20,2002  OUTPATIENT PHARMACY
      3850  JUN  2,2003  COMMUNICATIONS SERVICE LIBRARY
      3852  NOV 25,2002  COMMUNICATIONS SERVICE LIBRARY
      3853  NOV 26,2002  LAB SERVICE
      3854  NOV 26,2002  CLINICAL PROCEDURES
      3855  DEC  6,2002  REGISTRATION
      3856  DEC  6,2002  LAB SERVICE
      3857  DEC  3,2002  REGISTRATION
      3858  DEC  9,2002  KERNEL
      3859  DEC 12,2002  SCHEDULING
      3860  JUL  8,2003  REGISTRATION
      3861  JAN  3,2003  CONSULT/REQUEST TRACKING
      3862  APR  1,2003  BENEFICIARY TRAVEL
      3865  APR  1,2003  BENEFICIARY TRAVEL
      3866  APR  1,2003  LIBRARY
      3867  APR  1,2003  LIBRARY
      3868  APR  1,2003  LIBRARY
      3869  JAN  8,2003  SCHEDULING
      3870  JAN 10,2003  REGISTRATION
      3872  JAN 10,2003  PROSTHETICS
      3873  JAN 10,2003  PROSTHETICS
      3874  JAN 10,2003  PROSTHETICS
      3875  JAN 14,2003  VA FILEMAN
      3876  JAN 15,2003  INPATIENT MEDICATIONS
      3877  JAN 16,2003  INTEGRATED BILLING
      3878  JAN 20,2003  KERNEL
      3879  JAN 21,2003  VBECS
      3880  JAN 21,2003  LAB SERVICE
      3881  JAN 21,2003  LAB SERVICE
      3882  JAN 22,2003  KERNEL
      3883  JAN 28,2003  KERNEL
      3884  MAR  4,2003  KERNEL
      3885  FEB  3,2003  VA FILEMAN
      3886  FEB  3,2003  MAILMAN
      3887  FEB  4,2003  MASTER PATIENT INDEX VISTA
      3888  FEB  6,2003  HEALTH SUMMARY
      3889  FEB  6,2003  BAR CODE MED ADMIN
      3890  FEB 11,2003  MAILMAN
      3892  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3894  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3895  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3896  MAR  5,2003  TEXT INTEGRATION UTILITIES
      3897  MAR  5,2003  TEXT INTEGRATION UTILITIES
